fullName,sName,city,teamName,shortName
Boston Celtics ,Boston Celtics ,Boston,Celtics,BOS
Houston Rockets ,Houston Rockets ,Houston,Rockets,HOU
Golden State Warriors ,GoldenState Warriors ,GoldenState,Warriors,GS
Cleveland Cavaliers ,Cleveland Cavaliers ,Cleveland,Cavaliers,CLE
Toronto Raptors ,Toronto Raptors ,Toronto,Raptors,TOR
San Antonio Spurs ,SanAntonio Spurs ,SanAntonio,Spurs,SA
Detroit Pistons ,Detroit Pistons ,Detroit,Pistons,DET
Portland Trail Blazers ,Portland TrailBlazers ,Portland,TrailBlazers,POR
Philadelphia 76ers ,Philadelphia 76ers ,Philadelphia,76ers,PHI
Denver Nuggets ,Denver Nuggets ,Denver,Nuggets,DEN
Minnesota Timberwolves ,Minnesota Timberwolves ,Minnesota,Timberwolves,MIN
Milwaukee Bucks ,Milwaukee Bucks ,Milwaukee,Bucks,MIL
Indiana Pacers ,Indiana Pacers ,Indiana,Pacers,IND
Utah Jazz UTAH ,Utah Jazz,Utah,Jazz,UTH
Washington Wizards ,Washington Wizards ,Washington,Wizards,WSH
New Orleans Pelicans ,NewOrleans Pelicans ,NewOrleans,Pelicans,NO
New York Knicks ,NewYork Knicks ,NewYork,Knicks,NY
Miami Heat ,Miami Heat ,Miami,Heat,MIA
Oklahoma City Thunder ,OklahomaCity Thunder ,OklahomaCity,Thunder,OKC
Charlotte Hornets ,Charlotte Hornets ,Charlotte,Hornets,CHA
Orlando Magic ,Orlando Magic ,Orlando,Magic,ORL
Brooklyn Nets ,Brooklyn Nets ,Brooklyn,Nets,BKN
Los Angeles Clippers,LA Clippers ,LosAngeles,Clippers,LAC
Phoenix Suns ,Phoenix Suns ,Phoenix,Suns,PHX
Los Angeles Lakers ,LosAngeles Lakers ,LosAngeles,Lakers,LAL
Memphis Grizzlies ,Memphis Grizzlies ,Memphis,Grizzlies,MEM
Sacramento Kings ,Sacramento Kings ,Sacramento,Kings,SAC
Dallas Mavericks ,Dallas Mavericks ,Dallas,Mavericks,DAL
Atlanta Hawks ,Atlanta Hawks ,Atlanta,Hawks,ATL
Chicago Bulls ,Chicago Bulls ,Chicago,Bulls,CHI
